KEY;KOD;Ülke;Yýl;GFCF (Yatýrým);FDI (Yabancý Yatýrým);CPI (Enflasyon);Unemployment (Ýþsizlik);Current_Account (Cari Denge);Exchange_Rate (Kur);Govt_Exp (Devlet Harcamasý);Pop_Growth (Nüfus Artýþý);Export_GDP (Ýhracat);GDP_Growth (TARGET - Tahmin edilecek sütun);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFG_1960;AFG;Afghanistan;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;17.1965606878624;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUS_1960;AUS;Australia;1960;5631360901;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;0.892856999892857;EKSÝK VERÝ;EKSÝK VERÝ;12,95149949;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG_1960;ARG;Argentina;1960;3725017952;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;7,604049108;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUT_1960;AUT;Austria;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;26.000000025;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BGD_1960;BGD;Bangladesh;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;9,996685298;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEL_1960;BEL;Belgium;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;50.000000049;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRA_1960;BRA;Brazil;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;8.09970533496995E-14;EKSÝK VERÝ;EKSÝK VERÝ;6,281813562;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN_1960;CAN;Canada;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;-2.92671923539042;0.969766786666667;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHN_1960;CHN;China;1960;19495171136;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;2.46180889882528;EKSÝK VERÝ;EKSÝK VERÝ;3,146497017;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHL_1960;CHL;Chile;1960;608431818,2;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;0.00104896937508435;EKSÝK VERÝ;EKSÝK VERÝ;12,74271859;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
